"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","NestHt",-0.190118218796144,-0.0236418341536749,0.0710807871611586,0.17325946090424,0.386790720644511,"Model2_IntervalData"
"2","NestOrientation",-0.304563154656216,-0.150030764156891,-0.0690390982993656,0.0123128165426443,0.169801196185853,"Model2_IntervalData"
"3","InitDay",-0.750609135690614,-0.565374482656065,-0.469188477895943,-0.374158730519312,-0.191970837636827,"Model2_IntervalData"
"4","LgTreeDens",-0.312685736371032,-0.110614798909204,-0.00207522116551305,0.109114924908736,0.330308549506661,"Model2_IntervalData"
"5","SmTreeDens",-0.261257629563949,-0.108553091264901,-0.0246940277102553,0.0612151480466752,0.232043160574784,"Model2_IntervalData"
"6","PercPonderosa",-0.656526737994034,-0.430405268088723,-0.314685855613933,-0.199645977831202,0.0138262525907933,"Model2_IntervalData"
"7","Tmax",-0.205468182516279,0.0164904547756703,0.133948188727787,0.251885871532198,0.478453863276366,"Model2_IntervalData"
"8","Tmax^2",-0.168094376979209,-0.0423013145720326,0.0267408472870404,0.0984030067927862,0.239563443958726,"Model2_IntervalData"
"9","PPT",-0.60669933184743,-0.276771512288074,-0.103942294406479,0.0678483135934416,0.395531461789322,"Model2_IntervalData"
"10","PPT^2",-0.106077614410986,-0.0176708936968768,0.0378748220355408,0.100286507971977,0.237151864622273,"Model2_IntervalData"
"11","ForestCV",-0.102570217420453,0.0837091469548482,0.182902276507271,0.283521912303215,0.484974021837451,"Model2_IntervalData"
"12","Contagion",-0.323404099936681,-0.143906763778345,-0.046609481102104,0.0519462723222914,0.247554080038261,"Model2_IntervalData"
"13","NumOpenPatch",-0.593706227169762,-0.401034578846686,-0.300233912308176,-0.198879619358274,-0.00162042796995574,"Model2_IntervalData"
"14","PercHarvest",-0.497399646256622,-0.232193130416741,-0.093039898092239,0.0474839544479871,0.31744508208129,"Model2_IntervalData"
"15","PercBurn",-1.01571904695311,-0.698472355003775,-0.542088654198238,-0.38985235201963,-0.108281849178579,"Model2_IntervalData"
"16","LgTrees*pPIPO",-0.280333310683652,-0.0527312636531447,0.0625228339750944,0.177065227627181,0.392359945850349,"Model2_IntervalData"
"17","SmTrees*pPIPO",-0.237050388502517,-0.0668617846665334,0.0213558915262484,0.108634612998932,0.275035412232877,"Model2_IntervalData"
"18","LgTrees*Tmax",-0.252298446904709,-0.103934675125268,-0.0264174678621345,0.0506468640942992,0.199716729211243,"Model2_IntervalData"
"19","SmTrees*Tmax",-0.00140807965587728,0.146216032127082,0.22401539253871,0.302769893707845,0.455663969063753,"Model2_IntervalData"
"20","TreatmentType:Burn",-1.09931351026994,-0.353323458706749,0.0538738400340475,0.476746480366077,1.32752004242909,"Model2_IntervalData"
"21","TreatmentType:Harvest",-0.492204827799831,0.0919643991700344,0.400331877618707,0.710190642144261,1.30815417781491,"Model2_IntervalData"
"22","TreatmentType:Harvest+Burn",0.11896900015701,0.970367303572752,1.42084594186486,1.87206793482116,2.76253544247856,"Model2_IntervalData"
"23","NestTree:Abies",-4.74380370731905,-3.53763851221316,-2.86477306322569,-2.14644016750549,-0.604015500578106,"Model2_IntervalData"
"24","NestTree:Aspen",-0.947573443066859,-0.408716116699757,-0.113832228791085,0.189155750896122,0.798070813815229,"Model2_IntervalData"
"25","NestTree:Juniper",-1.55537882348367,-0.884456510880033,-0.525465685841059,-0.160357631537124,0.568105279693486,"Model2_IntervalData"
"26","NestTree:DougFir",-0.846756105652876,-0.121485350941163,0.306368903256762,0.778085215702449,1.84892662136594,"Model2_IntervalData"
"27","Stage:Egg",-0.48467832686353,-0.140832216116845,0.0415293284224818,0.225866626556929,0.585414157890304,"Model2_IntervalData"
