"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","TreatmentType:Burn",-0.99910593657943,2.10948794207627,3.85587307157212,5.74538660327238,9.72881003285564,"Model3_CustomProb"
"2","TreatmentType:Harvest",-2.24663527489108,-0.477673810833783,0.46685853990479,1.44233748539739,3.4359554951885,"Model3_CustomProb"
"3","TreatmentType:Harvest+Burn",3.16625928157074,6.85908346650281,9.0937932597882,11.4865726251694,16.5326452628032,"Model3_CustomProb"
"4","NestTree:Abies",-23.2841170128259,-13.0212233277808,-8.60814849187448,-5.04488021721055,0.393252545393606,"Model3_CustomProb"
"5","NestTree:Aspen",-0.941089521121355,1.58999155212166,2.89436581673353,4.25431060322373,7.06698190897908,"Model3_CustomProb"
"6","NestTree:Juniper",-4.24418159254781,-2.17888051287696,-1.16782806927554,-0.181017604607039,1.76881501833711,"Model3_CustomProb"
"7","NestTree:DougFir",-2.93758367605245,-0.380453412322204,1.10007463393781,2.7278891586457,6.33370038377624,"Model3_CustomProb"
"8","Stage:Egg",-21.730134828812,-17.0811523776339,-14.708134178177,-12.5065665763184,-8.89840742471429,"Model3_CustomProb"
"9","NestHt",0.207338469644166,0.858625079154102,1.21971479324315,1.6027149327121,2.38695702432335,"Model3_CustomProb"
"10","NestOrientation",-0.900807981912069,-0.311920588013179,-0.0303766366771988,0.239011667154547,0.757543255037636,"Model3_CustomProb"
"11","InitDay",-4.02625198059945,-3.04616758388368,-2.60628347108117,-2.20466443035812,-1.54262043601819,"Model3_CustomProb"
"12","LgTreeDens",-1.18799762476888,-0.504158973105807,-0.179026123536868,0.137623059029599,0.735191998128746,"Model3_CustomProb"
"13","SmTreeDens",-0.484267960075728,0.00906171350889794,0.259243232118078,0.514705401473947,1.03358567997214,"Model3_CustomProb"
"14","PercPonderosa",-2.37151137551225,-1.52944827022648,-1.1324088950736,-0.76059650242642,-0.0795409966521453,"Model3_CustomProb"
"15","Tmax",3.6326094731093,4.8086482523643,5.50449036122074,6.25114794182671,7.82730807481407,"Model3_CustomProb"
"16","Tmax^2",-1.64133682009508,-0.965693093766043,-0.632355077243452,-0.29841777933054,0.369279858781083,"Model3_CustomProb"
"17","PPT",1.58148211575459,2.92907443345496,3.69955655690319,4.52210317015924,6.24044435862106,"Model3_CustomProb"
"18","PPT^2",-1.10549812220894,-0.646595043577156,-0.40318574194493,-0.137073248530492,0.502006300411384,"Model3_CustomProb"
"19","ForestCV",-0.427513626630751,0.276906796670656,0.653387015911003,1.05260598193224,1.9113251965749,"Model3_CustomProb"
"20","Contagion",-1.66661760936056,-0.872878743308756,-0.48858563125182,-0.111201753928529,0.64325045340949,"Model3_CustomProb"
"21","NumOpenPatch",-2.81915020060704,-1.85341903023171,-1.40218233294062,-0.981712343927378,-0.23611098070307,"Model3_CustomProb"
"22","PercHarvest",-1.79495846658465,-0.784714560467108,-0.310204188301997,0.152923344560633,1.04876036386554,"Model3_CustomProb"
"23","PercBurn",-6.13952432398787,-4.36356220822618,-3.51118885992686,-2.7187691816248,-1.35672886372713,"Model3_CustomProb"
"24","LgTrees*pPIPO",-0.712610936953568,-0.12021176266744,0.189616941763898,0.505737486185884,1.16703669677966,"Model3_CustomProb"
"25","SmTrees*pPIPO",-0.578757434608811,-0.0448547915035069,0.24539327479951,0.547628598863159,1.17971597332828,"Model3_CustomProb"
"26","LgTrees*Tmax",-0.608159011955041,-0.104040139858624,0.157759954262263,0.425735929187125,0.974664855793473,"Model3_CustomProb"
"27","SmTrees*Tmax",0.500155859452409,1.02243421678059,1.33875372924067,1.686060600247,2.44342475969479,"Model3_CustomProb"
