"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","NestHt",-0.0567939383429308,-0.00171288208882457,0.0267141013664468,0.0561546402054858,0.116633227409704,"Model3_CustomProbCloglog"
"2","NestOrientation",-0.0986338884564357,-0.0430314265110432,-0.0149703936851897,0.013162007204631,0.0695319776844669,"Model3_CustomProbCloglog"
"3","InitDay",-0.216904927813005,-0.142163674178555,-0.107883482560359,-0.0749747618823245,-0.0145970258886211,"Model3_CustomProbCloglog"
"4","LgTreeDens",-0.0981945503930387,-0.0385726272383873,-0.00853218907112045,0.0211470243708207,0.0805047327159576,"Model3_CustomProbCloglog"
"5","SmTreeDens",-0.119095317524162,-0.0610232348650441,-0.0325571638133631,-0.0042933608354053,0.0509033593460013,"Model3_CustomProbCloglog"
"6","PercPonderosa",-0.246765033617963,-0.158179967422123,-0.118587551439466,-0.080732613797921,-0.0105564029944697,"Model3_CustomProbCloglog"
"7","Tmax",-0.231054160255619,-0.149433449520014,-0.109896902640019,-0.0713751861044884,0.00117063397656864,"Model3_CustomProbCloglog"
"8","Tmax^2",-0.133412405784606,-0.0866497192584036,-0.0627132433294941,-0.0387410876085098,0.0068135414004805,"Model3_CustomProbCloglog"
"9","PPT",-0.298695511521618,-0.164670045623354,-0.100191713956208,-0.0378688175316391,0.0795840976113419,"Model3_CustomProbCloglog"
"10","PPT^2",-0.0280408522491902,0.0124362152280413,0.0355490089708503,0.0603459772231065,0.113573390856693,"Model3_CustomProbCloglog"
"11","ForestCV",-0.0239973354615698,0.0396317131357179,0.0743418693001559,0.11026884088887,0.18997362961631,"Model3_CustomProbCloglog"
"12","Contagion",-0.116077121301177,-0.0476201883121437,-0.0131697212071554,0.0213219518964224,0.0909363235756852,"Model3_CustomProbCloglog"
"13","NumOpenPatch",-0.196419348863086,-0.120150638092332,-0.0849713365006451,-0.0509698219725732,0.0133183027806593,"Model3_CustomProbCloglog"
"14","PercHarvest",-0.180374745484778,-0.0862530941308004,-0.038932221139451,0.00817592858094907,0.101883271746409,"Model3_CustomProbCloglog"
"15","PercBurn",-0.411004895632618,-0.277320156979356,-0.213973531491667,-0.154240294951906,-0.0456027606397729,"Model3_CustomProbCloglog"
"16","Stage:Egg",-0.223331472496097,-0.116750259421663,-0.0598749488480332,-0.000202354924060046,0.129165021728511,"Model3_CustomProbCloglog"
"17","TreatmentType:Burn",-0.328084051086274,-0.0348429512981394,0.119121962121518,0.276879028599773,0.609522437277619,"Model3_CustomProbCloglog"
"18","TreatmentType:Harvest",-0.122834608247436,0.0728650674864172,0.174810221808999,0.277784645148128,0.490056864831275,"Model3_CustomProbCloglog"
"19","TreatmentType:Harvest+Burn",0.131209401042251,0.430949834472431,0.598608959208404,0.776554325975731,1.15966590638678,"Model3_CustomProbCloglog"
"20","NestTree:Abies",-2.099202429802,-1.40100589523588,-1.07527670546478,-0.767090681459519,-0.190545631852767,"Model3_CustomProbCloglog"
"21","NestTree:Aspen",-0.420697608224239,-0.208870381083051,-0.10775582570117,-0.00777240425806362,0.18585540899277,"Model3_CustomProbCloglog"
"22","NestTree:Juniper",-0.380586152407867,-0.152967227122339,-0.0432252792723649,0.0663105394465952,0.280228150578535,"Model3_CustomProbCloglog"
"23","NestTree:DougFir",-0.318560993103509,-0.0478850341955737,0.0925688232710085,0.239222827188482,0.549478138849734,"Model3_CustomProbCloglog"
