"","zvalue","Mean","p","p_cat","direction","p_dir","Model"
"1","TreatmentType:Burn",0.534949494949495,0.465050505050505,"ns","positive",NA,"Model2_IntervalData"
"2","TreatmentType:Harvest",0.809760942760943,0.190239057239057,"ns","positive",NA,"Model2_IntervalData"
"3","TreatmentType:Harvest+Burn",0.984090909090909,0.0159090909090909,"s","positive",0.0159090909090909,"Model2_IntervalData"
"4","NestTree:Abies",0.00835353535353535,0.00835353535353534,"s","negative",-0.00835353535353534,"Model2_IntervalData"
"5","NestTree:Aspen",0.398296296296296,0.398296296296296,"ns","negative",NA,"Model2_IntervalData"
"6","NestTree:Juniper",0.166673400673401,0.166673400673401,"ns","negative",NA,"Model2_IntervalData"
"7","NestTree:DougFir",0.682178451178451,0.317821548821549,"ns","positive",NA,"Model2_IntervalData"
"8","Stage:Egg",0.560612794612795,0.439387205387205,"ns","positive",NA,"Model2_IntervalData"
"9","NestHt",0.691858585858586,0.308141414141414,"ns","positive",NA,"Model2_IntervalData"
"10","NestOrientation",0.28340404040404,0.28340404040404,"ns","negative",NA,"Model2_IntervalData"
"11","InitDay",0.000511784511784512,0.000511784511784463,"s","negative",-0.000511784511784463,"Model2_IntervalData"
"12","LgTreeDens",0.495020202020202,0.495020202020202,"ns","negative",NA,"Model2_IntervalData"
"13","SmTreeDens",0.422902356902357,0.422902356902357,"ns","negative",NA,"Model2_IntervalData"
"14","PercPonderosa",0.0302794612794613,0.0302794612794612,"s","negative",-0.0302794612794612,"Model2_IntervalData"
"15","Tmax",0.779393939393939,0.220606060606061,"ns","positive",NA,"Model2_IntervalData"
"16","Tmax^2",0.602191919191919,0.397808080808081,"ns","positive",NA,"Model2_IntervalData"
"17","PPT",0.342215488215488,0.342215488215488,"ns","negative",NA,"Model2_IntervalData"
"18","PPT^2",0.673569023569024,0.326430976430976,"ns","positive",NA,"Model2_IntervalData"
"19","ForestCV",0.893774410774411,0.106225589225589,"ns","positive",NA,"Model2_IntervalData"
"20","Contagion",0.37403367003367,0.37403367003367,"ns","negative",NA,"Model2_IntervalData"
"21","NumOpenPatch",0.0243468013468013,0.0243468013468013,"s","negative",-0.0243468013468013,"Model2_IntervalData"
"22","PercHarvest",0.327670033670034,0.327670033670034,"ns","negative",NA,"Model2_IntervalData"
"23","PercBurn",0.00696296296296296,0.00696296296296295,"s","negative",-0.00696296296296295,"Model2_IntervalData"
"24","LgTrees*pPIPO",0.642986531986532,0.357013468013468,"ns","positive",NA,"Model2_IntervalData"
"25","SmTrees*pPIPO",0.565265993265993,0.434734006734007,"ns","positive",NA,"Model2_IntervalData"
"26","LgTrees*Tmax",0.408053872053872,0.408053872053872,"ns","negative",NA,"Model2_IntervalData"
"27","SmTrees*Tmax",0.974262626262626,0.0257373737373737,"s","positive",0.0257373737373737,"Model2_IntervalData"
