PlotID,Year,CanopyCover
FV_1_1_1,1986,49.51530612
FV_1_1_1,1987,49.42857143
FV_1_1_1,1988,49.41836735
FV_1_1_1,1989,49.40816327
FV_1_1_1,1990,49.30102041
FV_1_1_1,1991,49.32653061
FV_1_1_1,1992,49.34693878
FV_1_1_1,1993,49.36734694
FV_1_1_1,1994,48.55612245
FV_1_1_1,1995,48.55102041
FV_1_1_1,1996,48.55102041
FV_1_1_1,1997,48.4744898
FV_1_1_1,1998,48.45408163
FV_1_1_1,1999,48.45408163
FV_1_1_1,2000,48.21428571
FV_1_1_1,2001,48.21428571
FV_1_1_1,2002,48.21428571
FV_1_1_1,2003,48.21428571
FV_1_1_1,2004,47.40306122
FV_1_1_1,2005,48.32142857
FV_1_1_1,2006,47.99489796
FV_1_1_1,2007,47.76530612
FV_1_1_1,2008,47.53571429
FV_1_1_1,2009,47.30612245
FV_1_1_1,2010,46.99489796
FV_1_1_1,2011,47.07142857
FV_1_1_1,2012,47.14795918
FV_1_1_1,2013,47.2244898
FV_1_1_1,2014,47.28061224
FV_1_1_1,2015,46.62244898
FV_1_1_1,2016,46.62244898
FV_1_1_1,2017,46.53571429
FV_1_1_1,2018,46.6122449
FV_1_1_1,2019,46.68877551
FV_1_1_1,2020,46.76530612
FV_1_1_1,2021,46.84183673
FV_1_1_2,1986,50.01010101
FV_1_1_2,1987,48.9040404
FV_1_1_2,1988,47.84343434
FV_1_1_2,1989,46.10606061
FV_1_1_2,1990,45
FV_1_1_2,1991,45
FV_1_1_2,1992,45
FV_1_1_2,1993,44.83838384
FV_1_1_2,1994,44.83838384
FV_1_1_2,1995,44.83838384
FV_1_1_2,1996,44.36868687
FV_1_1_2,1997,44.207070710000004
FV_1_1_2,1998,44.53030303
FV_1_1_2,1999,44.53030303
FV_1_1_2,2000,44.53030303
FV_1_1_2,2001,44.36868687
FV_1_1_2,2002,44.41414141
FV_1_1_2,2003,43.94444444
FV_1_1_2,2004,43.94444444
FV_1_1_2,2005,43.78282828
FV_1_1_2,2006,43.78282828
FV_1_1_2,2007,43.78282828
FV_1_1_2,2008,43.78282828
FV_1_1_2,2009,43.31313131
FV_1_1_2,2010,43.31313131
FV_1_1_2,2011,43.31313131
FV_1_1_2,2012,43.63636364
FV_1_1_2,2013,43.7979798
FV_1_1_2,2014,43.7979798
FV_1_1_2,2015,43.7979798
FV_1_1_2,2016,43.32828283
FV_1_1_2,2017,43.48989899
FV_1_1_2,2018,43.48989899
FV_1_1_2,2019,43.48989899
