Site,Year,Block,Trt,Plot,Tree_Number,Sp_code,Cond,DBH,CoreID,response,priorDBH,priorYear,PlotID,totalPlotBA_ha,priorBA
AS,2013,1,1,10,15,PIPO,1,30.1,AS_1_1_10_15,Live,24,2002,AS_1_1_10,14.477179809569487,11.594871803638616
AS,2019,1,1,10,15,PIPO,1,32.8,AS_1_1_10_15,Live,30.1,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2013,1,1,10,16,PIPO,1,26.9,AS_1_1_10_16,Live,20.8,2002,AS_1_1_10,14.477179809569487,11.594871803638616
AS,2019,1,1,10,16,PIPO,1,29.9,AS_1_1_10_16,Live,26.9,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2013,1,1,10,22,PIPO,1,28.6,AS_1_1_10_22,Live,28,2002,AS_1_1_10,14.477179809569487,11.594871803638616
AS,2019,1,1,10,22,PIPO,1,28.9,AS_1_1_10_22,Live,28.6,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2013,1,1,10,29,PIPO,1,36,AS_1_1_10_29,Live,31.8,2002,AS_1_1_10,14.477179809569487,11.594871803638616
AS,2019,1,1,10,29,PIPO,1,37.5,AS_1_1_10_29,Live,36,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2019,1,1,10,31,PIPO,1,2.5,AS_1_1_10_31,Live,1.6,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2019,1,1,10,33,PIPO,2,2.5,AS_1_1_10_33,Live,1.9,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2019,1,1,10,34,PIPO,1,2.8,AS_1_1_10_34,Live,1.7,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2019,1,1,10,35,PIPO,1,2.7,AS_1_1_10_35,Live,0.9,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2013,1,1,10,7,PIPO,1,13.5,AS_1_1_10_7,Live,11.5,2002,AS_1_1_10,14.477179809569487,11.594871803638616
AS,2019,1,1,10,7,PIPO,1,14,AS_1_1_10_7,Live,13.5,2013,AS_1_1_10,16.434147153972585,14.477179809569487
AS,2013,1,1,11,1,PIPO,1,21,AS_1_1_11_1,Live,17.6,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,1,PIPO,1,22.6,AS_1_1_11_1,Live,21,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,10,PIPO,1,21.9,AS_1_1_11_10,Live,18.2,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,10,PIPO,1,22.5,AS_1_1_11_10,Live,21.9,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,11,PIPO,1,11.1,AS_1_1_11_11,Live,9.8,2002,AS_1_1_11,28.76636384050025,26.03274512275206
