"Nest_ID","Fate_cat","Visit_date","Prev_date","interval","Initiation_date","Year_located","Project_ID","Nest_Ht","Orientation","Trees_2550","Trees_50","tmax","ppt"
"EMFWOR_NCAMC1-01A_2015","success","2015-06-22","2015-06-18",1,"2015-06-06",2015,"EM_FWOR",2.3,20,33.3333333333333,17.5,24.7076000213623,0
"EMFWOR_NCAMC1-01A_2015","success","2015-06-23","2015-06-22",2,"2015-06-06",2015,"EM_FWOR",2.3,20,33.3333333333333,17.5,24.3439998626709,0
"EMFWOR_NCAMC1-01A_2015","success","2015-07-01","2015-06-23",3,"2015-06-06",2015,"EM_FWOR",2.3,20,33.3333333333333,17.5,29.9986248016357,0
"EMFWOR_NCAMC1-01A_2015","success","2015-07-13","2015-07-01",4,"2015-06-06",2015,"EM_FWOR",2.3,20,33.3333333333333,17.5,25.380499680837,3.21824995428324
"EMFWOR_NCAMC1-01A_2015","success","2015-07-22","2015-07-13",5,"2015-06-06",2015,"EM_FWOR",2.3,20,33.3333333333333,17.5,24.8373330434163,1.20011107126872
"EMFWOR_NCAMC1-01A_2017","success","2017-06-27","2017-06-24",1,"2017-05-23",2017,"EM_FWOR",4.5,140,50,15,28.7914996147156,0
"EMFWOR_NCAMC1-01A_2017","success","2017-06-29","2017-06-27",2,"2017-05-23",2017,"EM_FWOR",4.5,140,50,15,24.0275001525879,0
"EMFWOR_NCAMC1-01A_2017","success","2017-07-07","2017-06-29",3,"2017-05-23",2017,"EM_FWOR",4.5,140,50,15,27.7896254062653,0
"EMFWOR_NCAMC1-02A_2018","success","2018-07-02","2018-06-28",1,"2018-05-28",2018,"EM_FWOR",5.2,300,191.666666666667,17.5,23.3549999237061,0
"EMFWOR_NCAMC1-02A_2018","success","2018-07-05","2018-07-02",2,"2018-05-28",2018,"EM_FWOR",5.2,300,191.666666666667,17.5,22.9673328399658,0
"EMFWOR_NCAMC1-02A_2018","success","2018-07-09","2018-07-05",3,"2018-05-28",2018,"EM_FWOR",5.2,300,191.666666666667,17.5,25.191499710083,0
"EMFWOR_NCAMC1-02A_2018","success","2018-07-10","2018-07-09",4,"2018-05-28",2018,"EM_FWOR",5.2,300,191.666666666667,17.5,27.2999992370605,0
"EMFWOR_NCAMC1-02A_2018","success","2018-07-11","2018-07-10",5,"2018-05-28",2018,"EM_FWOR",5.2,300,191.666666666667,17.5,25.7849998474121,0
"EMFWOR_NCAMC1-02A_2019","failure","2019-06-17","2019-06-13",1,"2019-06-12",2019,"EM_FWOR",4.6,218,191.666666666667,17.5,25.3274002075195,0
"EMFWOR_NCAMC1-02A_2019","failure","2019-06-20","2019-06-17",2,"2019-06-12",2019,"EM_FWOR",4.6,218,191.666666666667,17.5,24.1863333384196,0
"EMFWOR_NCAMC1-02A_2019","failure","2019-06-24","2019-06-20",3,"2019-06-12",2019,"EM_FWOR",4.6,218,191.666666666667,17.5,17.667249917984,0
"EMFWOR_NCAMC1-02A_2019","failure","2019-06-27","2019-06-24",4,"2019-06-12",2019,"EM_FWOR",4.6,218,191.666666666667,17.5,19.1306667327881,0
"EMFWOR_NCAMC1-02A_2019","failure","2019-07-01","2019-06-27",5,"2019-06-12",2019,"EM_FWOR",4.6,218,191.666666666667,17.5,19.6607501506806,0
"EMFWOR_NCAMC1-09A_2015","success","2015-07-01","2015-06-25",1,"2015-06-06",2015,"EM_FWOR",2.9,108,8.33333333333333,5,31.1077139718192,0
"EMFWOR_NCAMC1-09A_2015","success","2015-07-08","2015-07-01",2,"2015-06-06",2015,"EM_FWOR",2.9,108,8.33333333333333,5,30.1108570098877,2.5374285706452
"EMFWOR_NCAMC1-09A_2015","success","2015-07-09","2015-07-08",3,"2015-06-06",2015,"EM_FWOR",2.9,108,8.33333333333333,5,19.2210006713867,5.89799976348877
"EMFWOR_NCAMC1-09A_2015","success","2015-07-14","2015-07-09",4,"2015-06-06",2015,"EM_FWOR",2.9,108,8.33333333333333,5,21.6573997497559,2.59840002059936
"EMFWOR_NCAMC1-09A_2015","success","2015-07-22","2015-07-14",5,"2015-06-06",2015,"EM_FWOR",2.9,108,8.33333333333333,5,26.0738749504089,1.03937494754791
"EMFWOR_NCAMC1-09A_2018","success","2018-06-07","2018-06-05",1,"2018-05-17",2018,"EM_FWOR",2.5,141,0,0,21.6753330230713,0
"EMFWOR_NCAMC1-09A_2018","success","2018-06-11","2018-06-07",2,"2018-05-17",2018,"EM_FWOR",2.5,141,0,0,16.618499994278,1.65225002169609
"EMFWOR_NCAMC1-09A_2018","success","2018-06-18","2018-06-11",3,"2018-05-17",2018,"EM_FWOR",2.5,141,0,0,19.7265716280256,0.906999979700362
"EMFWOR_NCAMC1-09A_2018","success","2018-06-25","2018-06-18",4,"2018-05-17",2018,"EM_FWOR",2.5,141,0,0,23.0417143957956,0.362714290618897
"EMFWOR_NCAMC1-09A_2018","success","2018-07-02","2018-06-25",5,"2018-05-17",2018,"EM_FWOR",2.5,141,0,0,24.6525715419224,0
"EMFWOR_NCAMC1-10A_2017","success","2017-06-13","2017-06-08",1,"2017-05-14",2017,"EM_FWOR",1.5,109,8.33333333333333,5,13.2893331050873,3.95516657829284
"EMFWOR_NCAMC1-10A_2017","success","2017-06-24","2017-06-13",2,"2017-05-14",2017,"EM_FWOR",1.5,109,8.33333333333333,5,24.3950907967307,0
"EMFWOR_NCAMC1-10A_2017","success","2017-06-27","2017-06-24",3,"2017-05-14",2017,"EM_FWOR",1.5,109,8.33333333333333,5,29.9616661071777,0
"EMFWOR_NCAMC1-10A_2020","success","2020-07-08","2020-07-06",1,"2020-06-23",2020,"EM_FWOR",3.6,39,41.6666666666667,10,24.5799999237061,0
"EMFWOR_NCAMC1-10A_2020","success","2020-07-13","2020-07-08",2,"2020-06-23",2020,"EM_FWOR",3.6,39,41.6666666666667,10,27.093399810791,0
"EMFWOR_NCAMC1-10A_2020","success","2020-07-15","2020-07-13",3,"2020-06-23",2020,"EM_FWOR",3.6,39,41.6666666666667,10,26.7969999313354,0
"EMFWOR_NCAMC1-10A_2020","success","2020-07-21","2020-07-15",4,"2020-06-23",2020,"EM_FWOR",3.6,39,41.6666666666667,10,30.570333480835,0
