"","Nest_ID","Fate_cat","Visit_date","Year_located","Project_ID","Transect_ID2","Julian_start","Julian_end","interval","Stage","Trt_cat","Nest_Ht","cosOrientation","Init_day","Tree_sp","Trees_2550","Trees_50","pPIPO","a1000_areacv2","a1000_contag","a1000_np1","a1000_Ha","a1000_RxBu","maxTmax_C","meanTmax_C","maxPpt_mm","meanPpt_mm","prevStage","Age"
"1","EMPAID_NSG10A_2015","failure","2015-05-19",2015,"EMPAID","310",135,139,2,"I","HB",1.9,0.241921895599668,134,"PIPO",33.3333333333333,12.5,0.666666666666667,259.7009888,31.5953007,31,39.2490005,75.9716034,19.1119995117188,16.7185711179461,15.4750003814697,3.32142864380564,"L",5
"2","EMMAOR_NDUGC1-06A_2017","failure","2017-05-25",2017,"EMMAOR","94",144,145,1,"I","U",2.75,0.309016994374947,139,"JUOC",83.3333333333333,30,0.826086956521739,313.9710083,16.4123001,76,7.9202099,9.0810699,27.5979995727539,26.1724996566772,0,0,"I",6
"3","EMPAID_NCW-A03A_2016","success","2016-05-26",2016,"EMPAID","EMPAID_CW-A",144,147,1,"L","H",1.2,0.927183854566787,144,"PIPO",16.6666666666667,10,0.857142857142857,300.3580017,12.9594002,40,43.6492004,4.2397399,18.4890003204346,15.178750038147,5.01800012588501,1.61475004255772,"L",3
"4","EMPAID_NCU10A_2013","success","2013-05-28",2013,"EMPAID","EMPAID_CU",142,148,1,"I","H",1.8,-0.5,142,"PIPO",16.6666666666667,27.5,0.846153846153846,367.321991,8.3812399,64,35.2303009,0,19.8649997711182,17.1519997914632,0.819999992847443,0.273333330949148,"L",6
"5","EMFWOR_NCAMC4-10B_2018","success","2018-05-29",2018,"EMFWOR","EMFWOR_CAMC4",144,149,1,"I","U",2.5,0.17364817766693,142,"POTR5",8.33333333333333,0,0,310.7160034,19.4978008,20,0,0,18.6299991607666,15.6024998937334,7.69600009918213,1.69700000647988,"L",7
"6","EMFWOR_NCAMC5-01A_2018","success","2018-05-29",2018,"EMFWOR","EMFWOR_CAMC5",141,149,1,"I","U",7.3,-0.453990499739547,140,"POTR5",25,2.5,0.2,266.1570129,28.5111008,13,0,0,21.5669994354248,15.420928478241,7.3899998664856,0.731071423207011,"L",9
"7","EMPAID_NCU10A_2015","success","2015-05-29",2015,"EMPAID","EMPAID_CU",139,149,1,"I","H",4.5,-0.882947592858927,136,"PIPO",25,15,0.444444444444444,279.9419861,11.2514,44,40.7743988,0.194162,22.4260005950928,18.5237272435969,4.38899993896484,1.63027274608612,"L",13
"8","EMPAID_NSG10A_2015","failure","2015-05-29",2015,"EMPAID","310",139,149,3,"N","HB",1.9,0.241921895599668,134,"PIPO",33.3333333333333,12.5,0.666666666666667,259.7009888,31.5953007,31,39.2490005,75.9716034,17.8090000152588,14.6147998809814,10.2589998245239,3.73119997382164,"I",15
"9","EMPAID_NCW-D10A_2017","success","2017-05-30",2017,"EMPAID","EMPAID_CW-D",142,150,1,"N","HB",2.1,0.743144825477394,131,"PIPO",50,2.5,0.285714285714286,239.3390045,24.2194996,90,26.9286995,19.3017006,22.4099998474121,19.0567498207092,0.802999973297119,0.494249992072582,"I",19
"10","EMPAID_NSG10A_2016","failure","2016-05-29",2016,"EMPAID","311",143,150,1,"I","HB",1.9,-0.17364817766693,142,"PIPO",25,10,0.714285714285714,272.9609985,29.1126003,34,40.2463989,79.3615036,21.2119998931885,14.1335999488831,12.7220001220703,4.45540006160736,"L",8
"11","EMPAID_NCW-A01A_2015","failure","2015-05-31",2015,"EMPAID","EMPAID_CW-A",148,151,1,"I","U",2.2,0.857167300702112,143,"PIPO",108.333333333333,17.5,0.666666666666667,226.5579987,16.8306999,18,10.9123001,0,23.5779991149902,20.7209997177124,0.791999995708466,0.386500000953674,"I",8
"12","EMPAID_NCW-A03A_2016","success","2016-05-30",2016,"EMPAID","EMPAID_CW-A",147,151,2,"I","H",1.2,0.927183854566787,144,"PIPO",16.6666666666667,10,0.857142857142857,300.3580017,12.9594002,40,43.6492004,4.2397399,22.3409996032715,19.0765998840332,0,0,"L",7
"13","EMPAID_NCW-D04A_2015","success","2015-05-31",2015,"EMPAID","EMPAID_CW-D",142,151,1,"N","U",4,0.994521895368273,133,"PIPO",41.6666666666667,25,0.9375,336.151001,12.2349005,54,24.4353008,0,25.4829998016357,21.8931999206543,4.47700023651123,1.14760000631213,"I",18
"14","EMPAID_NSF02A_2015","success","2015-05-31",2015,"EMPAID","EMPAID_SF",148,151,1,"I","H",1.3,0.848048096156426,139,"PIPO",25,17.5,1,555.651001,7.5188899,24,29.3633995,0,25.4829998016357,22.6032495498657,0.460999995470047,0.148499999195337,"I",12
"15","EMPAID_NSF02A_2016","success","2016-05-30",2016,"EMPAID","EMPAID_SF",146,151,1,"I","H",2.2,-0.777145961456971,139,"PIPO",8.33333333333333,52.5,0.909090909090909,141.1750031,32.2280006,100,30.6541996,4.4561901,22.6399993896484,19.2784996032715,0.950999975204468,0.158499995867411,"I",12
"16","EMPAID_NSF07A_2015","success","2015-05-31",2015,"EMPAID","EMPAID_SF",148,151,1,"I","H",3,0.139173100960065,139,"PIPO",8.33333333333333,10,1,468.0100098,15.7231998,67,41.2144012,0,25.0349998474121,22.1814999580383,0.754999995231628,0.356000006198883,"I",12
