"","parameter","2.5%","25%","50%","75%","97.5%","Model"
"1","TreatmentType:Burn",-1.31691265215065,1.22841470507885,2.69122828505287,4.31005854503644,7.73207519382935,"Model3_CustomProbLogit"
"2","TreatmentType:Harvest",-1.84843297367746,-0.386938615422691,0.351343497639341,1.11346662475167,2.63640165145663,"Model3_CustomProbLogit"
"3","TreatmentType:Harvest+Burn",1.50028330351438,4.41109286350502,6.22772048279044,8.19875928405377,12.2576122416643,"Model3_CustomProbLogit"
"4","NestTree:Abies",-23.3142088670419,-12.9033720136028,-8.5712885775575,-5.20308934118571,-0.474023529879255,"Model3_CustomProbLogit"
"5","NestTree:Aspen",-0.338469389987695,1.72573522402578,2.8171184151505,3.94842458789114,6.31778129529943,"Model3_CustomProbLogit"
"6","NestTree:Juniper",-3.45978177373023,-1.8211675618355,-1.04218028235197,-0.28755779164429,1.20562411122095,"Model3_CustomProbLogit"
"7","NestTree:DougFir",-3.41415174288333,-1.32648483353684,-0.141649369196345,1.19828219336279,4.38530381027922,"Model3_CustomProbLogit"
"8","Stage:Egg",-22.0781849999732,-16.4053456725505,-13.7448497677783,-11.3707043211244,-7.75212675671489,"Model3_CustomProbLogit"
"9","NestHt",0.0756293730968323,0.576184815753719,0.85731637646415,1.14292540568131,1.75650862839509,"Model3_CustomProbLogit"
"10","NestOrientation",-0.487454935703476,-0.0673123101306017,0.143065617659444,0.354925379118911,0.776035110266054,"Model3_CustomProbLogit"
"11","InitDay",-2.81718345162331,-2.16484027538089,-1.86179334972816,-1.57646158985391,-1.09319502042113,"Model3_CustomProbLogit"
"12","LgTreeDens",-0.66235240255386,-0.233136408560134,-0.0198558319211039,0.189513622499501,0.606939137558327,"Model3_CustomProbLogit"
"13","SmTreeDens",-0.205099767482163,0.151643167292621,0.338036071769494,0.531399547873641,0.931211747184529,"Model3_CustomProbLogit"
"14","PercPonderosa",-1.92807988534956,-1.27017572820577,-0.955561409080379,-0.66222687232634,-0.129689902848641,"Model3_CustomProbLogit"
"15","Tmax",3.15800349641298,4.13072124819678,4.72146929532581,5.37567344451764,6.74063805224152,"Model3_CustomProbLogit"
"16","Tmax^2",-1.58118676939055,-1.02174204810018,-0.747432216023346,-0.478738651377005,0.0491110724365435,"Model3_CustomProbLogit"
"17","PPT",1.48149074684455,2.54878929734503,3.16427626023422,3.84602053254035,5.32059768582969,"Model3_CustomProbLogit"
"18","PPT^2",-0.950680084243064,-0.577763926110673,-0.386894482957186,-0.187508133645306,0.293797024125013,"Model3_CustomProbLogit"
"19","ForestCV",-0.422263749365507,0.125246624865712,0.41569351332509,0.721160428530763,1.36082549101803,"Model3_CustomProbLogit"
"20","Contagion",-1.39380002329621,-0.775869271433814,-0.477439733539685,-0.189961252904306,0.378819479313841,"Model3_CustomProbLogit"
"21","NumOpenPatch",-2.27632500019143,-1.52966873917919,-1.17779262313166,-0.85118544572329,-0.251816449499044,"Model3_CustomProbLogit"
"22","PercHarvest",-1.34616719145469,-0.590429792752327,-0.217343609491047,0.145547525347024,0.846843194195493,"Model3_CustomProbLogit"
"23","PercBurn",-4.57461564104455,-3.15238240149233,-2.44033619354779,-1.78551239214091,-0.702023138247708,"Model3_CustomProbLogit"
