"","Dataset","ID","fate","t","x"
"1","1","148",1,10,2.12748197935329
"2","1","151",1,10,1.25917667091267
"3","1","192",1,10,1.18488412924622
"4","1","286",1,10,1.17476339446815
"5","1","1",0,2,-0.558367961917555
"6","1","2",0,1,-0.817969209544503
"7","1","3",0,3,0.73583413913543
"8","1","4",0,2,-0.135721785023502
"9","1","5",0,8,1.72813000599076
"10","1","6",0,2,-1.67051176041458
"11","1","7",0,2,-0.425909029732074
"12","1","8",0,1,0.19983546588779
"13","1","9",0,2,-0.378026567338674
"14","1","10",0,1,-0.319797642606938
"15","1","11",0,1,-2.10066897408012
"16","1","12",0,2,-0.29225754104232
"17","1","13",0,3,0.1432374950411
"18","1","14",0,3,-0.171413776080346
"19","1","15",0,3,0.30107746816914
"20","1","16",0,4,-0.0180747662189399
"21","1","17",0,2,0.385261994873417
"22","1","18",0,3,0.885479379237327
"23","1","19",0,3,1.22893286225369
"24","1","20",0,1,2.31717955058601
"25","1","21",0,1,-2.35324909642384
"26","1","22",0,1,0.854317852082026
"27","1","23",0,3,2.95718985801152
"28","1","24",0,2,-1.65682372648123
"29","1","25",0,3,-0.841354526594097
"30","1","26",0,5,0.596527740432634
"31","1","27",0,1,-0.194335502233021
"32","1","28",0,1,-1.11576810814121
"33","1","29",0,3,1.32829495877127
"34","1","30",0,2,-0.30085784473335
"35","1","31",0,1,0.0679011088517364
"36","1","32",0,5,1.7835885213133
"37","1","33",0,4,-0.382915692283273
"38","1","34",0,2,-1.15225222983165
"39","1","35",0,2,-0.916248156859512
"40","1","36",0,3,2.10960581902899
"41","1","37",0,1,1.41547181908983
"42","1","38",0,2,-0.223332907101527
"43","1","39",0,2,-0.637467354029994
"44","1","40",0,3,-1.44140428100979
"45","1","41",0,1,0.135691970955662
"46","1","42",0,2,0.0846144482724707
"47","1","43",0,1,0.450124839885386
"48","1","44",0,2,0.104033848447554
"49","1","45",0,1,0.272379268845158
"50","1","46",0,4,0.777118910965124
"51","1","47",0,7,1.11337177781822
"52","1","48",0,2,2.49214957503129
"53","1","49",0,4,-0.0440327874888165
"54","1","50",0,2,-0.12195332325833
"55","1","51",0,3,1.2264928510598
"56","1","52",0,6,0.0776179542628087
"57","1","53",0,3,-0.309020060338402
"58","1","54",0,1,-2.32497152949757
"59","1","55",0,3,0.218179854538243
"60","1","56",0,3,-0.926087078636583
"61","1","57",0,3,0.0158676651555002
"62","1","58",0,1,-1.62385603559515
"63","1","59",0,2,-1.32116492002848
"64","1","60",0,2,0.741126510512763
"65","1","61",0,3,-0.881258334594815
"66","1","62",0,3,-0.518821607132057
"67","1","63",0,1,-0.829998110552006
"68","1","64",0,2,-2.0220389245984
"69","1","65",0,1,-1.97351305295185
"70","1","66",0,3,0.665786568263024
"71","1","67",0,3,2.24560116099781
"72","1","68",0,1,1.22683603389252
"73","1","69",0,1,0.868285239313223
"74","1","70",0,2,-0.354259099703696
"75","1","71",0,1,-0.118634201104035
"76","1","72",0,2,0.745742475581774
"77","1","73",0,1,-1.88533161028791
"78","1","74",0,1,1.21828000052242
"79","1","75",0,1,-1.34392239198089
"80","1","76",0,1,2.29949808212877
"81","1","77",0,3,1.60551974870924
"82","1","78",0,3,-1.34587846333291
"83","1","79",0,1,0.412424810478397
"84","1","80",0,10,1.07224181548512
"85","1","81",0,9,1.03346102830792
