"","Dataset","ID","fate","t","x"
"1","1","77",1,10,1.75886644986109
"2","1","95",1,10,1.30067105329307
"3","1","98",1,10,0.785202457494758
"4","1","141",1,10,0.798984029152124
"5","1","143",1,10,2.40217107136986
"6","1","150",1,10,0.579943899752453
"7","1","189",1,10,1.13094218260686
"8","1","248",1,10,2.36952319190585
"9","1","262",1,10,0.658290946824779
"10","1","1",0,1,-0.825771782618332
"11","1","2",0,2,-1.53267486707984
"12","1","3",0,1,1.00656941310811
"13","1","4",0,5,0.443445620953877
"14","1","5",0,2,1.86782883539996
"15","1","6",0,3,-1.07213425493859
"16","1","7",0,3,0.505803266024112
"17","1","8",0,2,0.0270567775278618
"18","1","9",0,1,-1.20735789990491
"19","1","10",0,2,-0.122283861861811
"20","1","11",0,1,-1.00513310109436
"21","1","12",0,1,0.156043792580437
"22","1","13",0,2,-0.612662916467834
"23","1","14",0,1,0.321830655641956
"24","1","15",0,2,-0.649635220620427
"25","1","16",0,1,0.42938838561098
"26","1","17",0,2,0.616326695856704
"27","1","18",0,7,0.937069287461112
"28","1","19",0,1,0.740983939572803
"29","1","20",0,6,1.62109881776683
"30","1","21",0,2,0.0442400740853208
"31","1","22",0,2,-0.889325029441406
"32","1","23",0,3,2.33915676036336
"33","1","24",0,1,-0.476559619885112
"34","1","25",0,4,-0.355290966395105
"35","1","26",0,6,-0.477661926124113
"36","1","27",0,2,1.18771743974928
"37","1","28",0,1,-1.35480036219571
"38","1","29",0,2,1.40216448012931
"39","1","30",0,1,0.154048469569961
"40","1","31",0,4,-0.169445903430458
"41","1","32",0,6,1.48919657615623
"42","1","33",0,2,0.265186454571639
"43","1","34",0,2,-0.542704737644168
"44","1","35",0,1,-0.523792315553336
"45","1","36",0,3,0.977246674522833
"46","1","37",0,2,0.12161887059528
"47","1","38",0,1,-0.416767244451647
"48","1","39",0,7,1.05655904636987
"49","1","40",0,3,-1.40926451230981
"50","1","41",0,2,0.650762011674647
"51","1","42",0,8,0.696108269231907
"52","1","43",0,1,-0.972104123320481
"53","1","44",0,2,1.23918157418697
"54","1","45",0,1,0.585491816954166
"55","1","46",0,5,-0.373157690179465
"56","1","47",0,1,1.01442503120485
"57","1","48",0,2,1.11580018816517
"58","1","49",0,2,-0.0565483201479816
"59","1","50",0,5,0.825878425081668
"60","1","51",0,2,0.45337054687413
"61","1","52",0,8,0.40539391165189
"62","1","53",0,2,-0.0585441304564495
"63","1","54",0,1,-1.48850186610103
"64","1","55",0,1,0.877576399048304
"65","1","56",0,2,-0.60233033575899
"66","1","57",0,4,-0.294787320527795
"67","1","58",0,2,-0.426963293861409
"68","1","59",0,3,-0.834102836569246
"69","1","60",0,9,1.26954601760077
"70","1","61",0,2,-0.879018424595086
"71","1","62",0,2,-2.27445928935758
"72","1","63",0,3,-0.0357350482279108
"73","1","64",0,1,-2.44577527159782
"74","1","65",0,1,-1.7926283358253
"75","1","66",0,3,0.212609421731797
"76","1","67",0,9,2.77859957905322
"77","1","68",0,4,1.16479771539771
"78","1","69",0,2,0.415658115480929
"79","1","70",0,1,-0.997174651622095
"80","1","71",0,1,-1.56376661539771
"81","1","72",0,6,-0.0455892668796451
"82","1","73",0,1,0.161701570368756
"83","1","74",0,2,-0.748285491683921
"84","1","75",0,2,-1.17771159598889
"85","1","76",0,1,1.65034637440621
"86","1","78",0,1,-2.255940452523
"87","1","79",0,3,0.359826473273061
"88","1","80",0,6,0.927411415344457
"89","1","81",0,1,0.862993587508063
"90","1","82",0,2,-0.91051729785057
"91","1","83",0,7,1.81018797279638
"92","1","84",0,2,-0.297345972687155
"93","1","85",0,9,0.698221660388537
"94","1","86",0,6,-0.652808723728848
"95","1","87",0,4,0.840733940939552
"96","1","88",0,2,-0.366894019275615
"97","1","89",0,2,1.1400537938582
"98","1","90",0,1,0.0564062980865978
"99","1","91",0,3,0.181761732642744
"100","1","92",0,1,0.0266052861630682
"101","1","93",0,1,1.57562791697565
"102","1","94",0,1,-0.0593285969138176
"103","1","96",0,1,-0.39486487948176
"104","1","97",0,2,0.95223122835285
"105","1","99",0,3,0.38129114514401
"106","1","100",0,1,0.0221067745284499
"107","1","101",0,1,-0.788223133123542
"108","1","102",0,2,-0.0740995574358534
"109","1","103",0,1,-0.215059594530515
"110","1","104",0,2,-0.494448441419561
"111","1","105",0,2,0.824062877187086
"112","1","106",0,2,-0.967552711610891
"113","1","107",0,7,0.551752501289737
"114","1","108",0,4,0.13402680754148
"115","1","109",0,1,0.442806350931059
"116","1","110",0,2,-0.81077624437562
"117","1","111",0,1,-0.661573907534681
"118","1","112",0,1,-1.12055021513127
"119","1","113",0,2,-0.441992013217571
"120","1","114",0,1,-0.471132048802154
"121","1","115",0,2,-1.35552394267005
"122","1","116",0,2,-0.831890260511225
"123","1","117",0,1,-2.06436392435794
"124","1","118",0,2,1.03994048922341
"125","1","119",0,2,0.0964086078727141
"126","1","120",0,3,-0.0822490230547671
"127","1","121",0,1,-0.355351090116622
"128","1","122",0,2,-1.00807790859505
"129","1","123",0,4,0.834491378203531
"130","1","124",0,3,-0.00936410215385787
"131","1","125",0,1,-0.815766676231849
"132","1","126",0,1,-0.213551839696668
"133","1","127",0,4,-0.755760920777734
