"","Site","Block","Trt","Plot","Tree_Number","CoreID","PlotID","response","start_year","end_year","BA","DBH","CanopyCover","meanVPD_Dry.Summer","meanVPD_Fall","meanVPD_Monsoon.Summer","meanVPD_Spring","meanVPD_Winter","SWA_Dry.Summer","SWA_Fall","SWA_Monsoon.Summer","SWA_Spring","SWA_Winter"
"1","FV",1,1,1,1,"FV_1_1_1_1","FV_1_1_1","Live",1998,2019,46.6600555079505,44.8666666666667,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
"2","FV",1,1,1,4,"FV_1_1_1_4","FV_1_1_1","Live",1998,2019,46.6600555079505,37.3333333333333,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
"3","FV",1,1,1,6,"FV_1_1_1_6","FV_1_1_1","Live",1998,2019,46.6600555079505,11.3333333333333,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
"4","FV",1,1,1,7,"FV_1_1_1_7","FV_1_1_1","Live",1998,2019,46.6600555079505,36.8,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
"5","FV",1,1,1,9,"FV_1_1_1_9","FV_1_1_1","Live",1998,2019,46.6600555079505,21.5333333333333,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
"6","FV",1,1,1,10,"FV_1_1_1_10","FV_1_1_1","Live",1998,2019,46.6600555079505,11.3666666666667,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
"7","FV",1,1,1,11,"FV_1_1_1_11","FV_1_1_1","Dead",1998,2011,45.5844356417257,0.8,47.9297488207692,12.3218547621905,5.17194654037169,12.5093461417599,5.50869033587547,3.32907897008246,52.2317451441242,41.9308313559759,28.6423907549993,66.8769538525891,51.1643655787115
"8","FV",1,1,1,12,"FV_1_1_1_12","FV_1_1_1","Dead",1998,2011,45.5844356417257,1.3,47.9297488207692,12.3218547621905,5.17194654037169,12.5093461417599,5.50869033587547,3.32907897008246,52.2317451441242,41.9308313559759,28.6423907549993,66.8769538525891,51.1643655787115
"9","FV",1,1,1,13,"FV_1_1_1_13","FV_1_1_1","Live",1998,2019,46.6600555079505,5.9,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
"10","FV",1,1,1,14,"FV_1_1_1_14","FV_1_1_1","Live",1998,2011,45.5844356417257,1.95,47.9297488207692,12.3218547621905,5.17194654037169,12.5093461417599,5.50869033587547,3.32907897008246,52.2317451441242,41.9308313559759,28.6423907549993,66.8769538525891,51.1643655787115
"11","FV",1,1,1,15,"FV_1_1_1_15","FV_1_1_1","Live",1998,2019,46.6600555079505,7.23333333333333,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
"12","FV",1,1,1,18,"FV_1_1_1_18","FV_1_1_1","Live",1998,2019,46.6600555079505,36.3666666666667,47.5335276957143,12.5966151446941,5.17578171465429,11.9304871481111,5.75408232566167,3.3857440376618,50.4384010572853,47.8624258335951,35.2988240188141,72.5330697355619,55.388058239539
