"","Site","Year","Block","Trt","Plot","Tree_Number","Sp_code","Cond","DBH","CoreID","response","priorDBH","priorYear","PlotID","totalPlotBA_ha","priorBA","CanopyCover","meanVPD_Dry.Summer","meanVPD_Fall","meanVPD_Monsoon.Summer","meanVPD_Spring","meanVPD_Winter","SWA_Dry.Summer","SWA_Fall","SWA_Monsoon.Summer","SWA_Spring","SWA_Winter"
"1","FV",2006,1,1,10,1,"PIPO",1,15.8,"FV_1_1_10_1","Live",15.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,11.9764473720208,5.02570012089433,12.832928663684,5.43922236062916,3.39164926714091,42.0480337823508,54.7111650664904,29.6724559167138,87.3273118625535,75.4186895294987
"2","FV",2011,1,1,10,1,"PIPO",1,16,"FV_1_1_10_1","Live",15.8,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,12.874506586462,5.40594081153546,11.9916141066814,5.61983909626956,3.22896649478894,39.5109473933966,59.1103745304604,38.5856846217021,67.9404452299727,49.0186135345055
"3","FV",2019,1,1,10,1,"PIPO",1,16.9,"FV_1_1_10_1","Live",16,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,13.0431007662623,5.18201387286351,10.9898412834317,6.15284430906426,3.47782477247823,33.5008574879378,72.6513609267715,53.2620247854178,89.8491144637235,84.0289712464781
"4","FV",2006,1,1,10,10,"PIPO",1,2.7,"FV_1_1_10_10","Live",2.2,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,11.9764473720208,5.02570012089433,12.832928663684,5.43922236062916,3.39164926714091,42.0480337823508,54.7111650664904,29.6724559167138,87.3273118625535,75.4186895294987
"5","FV",2011,1,1,10,10,"PIPO",1,2.8,"FV_1_1_10_10","Live",2.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,12.874506586462,5.40594081153546,11.9916141066814,5.61983909626956,3.22896649478894,39.5109473933966,59.1103745304604,38.5856846217021,67.9404452299727,49.0186135345055
"6","FV",2019,1,1,10,10,"PIPO",1,3.6,"FV_1_1_10_10","Live",2.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,13.0431007662623,5.18201387286351,10.9898412834317,6.15284430906426,3.47782477247823,33.5008574879378,72.6513609267715,53.2620247854178,89.8491144637235,84.0289712464781
"7","FV",2006,1,1,10,11,"PIPO",1,5.9,"FV_1_1_10_11","Live",4.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,11.9764473720208,5.02570012089433,12.832928663684,5.43922236062916,3.39164926714091,42.0480337823508,54.7111650664904,29.6724559167138,87.3273118625535,75.4186895294987
"8","FV",2011,1,1,10,11,"PIPO",1,6.5,"FV_1_1_10_11","Live",5.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,12.874506586462,5.40594081153546,11.9916141066814,5.61983909626956,3.22896649478894,39.5109473933966,59.1103745304604,38.5856846217021,67.9404452299727,49.0186135345055
"9","FV",2019,1,1,10,11,"PIPO",1,8.4,"FV_1_1_10_11","Live",6.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,13.0431007662623,5.18201387286351,10.9898412834317,6.15284430906426,3.47782477247823,33.5008574879378,72.6513609267715,53.2620247854178,89.8491144637235,84.0289712464781
"10","FV",2006,1,1,10,12,"PIPO",1,1.5,"FV_1_1_10_12","Live",1.2,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,11.9764473720208,5.02570012089433,12.832928663684,5.43922236062916,3.39164926714091,42.0480337823508,54.7111650664904,29.6724559167138,87.3273118625535,75.4186895294987
"11","FV",2011,1,1,10,12,"PIPO",2,1.6,"FV_1_1_10_12","Live",1.5,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,12.874506586462,5.40594081153546,11.9916141066814,5.61983909626956,3.22896649478894,39.5109473933966,59.1103745304604,38.5856846217021,67.9404452299727,49.0186135345055
"12","FV",2019,1,1,10,12,"PIPO",1,1.4,"FV_1_1_10_12","Live",1.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,13.0431007662623,5.18201387286351,10.9898412834317,6.15284430906426,3.47782477247823,33.5008574879378,72.6513609267715,53.2620247854178,89.8491144637235,84.0289712464781
"13","FV",2006,1,1,10,13,"PIPO",1,6.8,"FV_1_1_10_13","Live",6.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,11.9764473720208,5.02570012089433,12.832928663684,5.43922236062916,3.39164926714091,42.0480337823508,54.7111650664904,29.6724559167138,87.3273118625535,75.4186895294987
"14","FV",2011,1,1,10,13,"PIPO",1,7,"FV_1_1_10_13","Live",6.8,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,12.874506586462,5.40594081153546,11.9916141066814,5.61983909626956,3.22896649478894,39.5109473933966,59.1103745304604,38.5856846217021,67.9404452299727,49.0186135345055
"15","FV",2019,1,1,10,13,"PIPO",1,7.5,"FV_1_1_10_13","Live",7,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,13.0431007662623,5.18201387286351,10.9898412834317,6.15284430906426,3.47782477247823,33.5008574879378,72.6513609267715,53.2620247854178,89.8491144637235,84.0289712464781
"16","FV",2006,1,1,10,14,"PIPO",1,1.3,"FV_1_1_10_14","Live",0.8,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,11.9764473720208,5.02570012089433,12.832928663684,5.43922236062916,3.39164926714091,42.0480337823508,54.7111650664904,29.6724559167138,87.3273118625535,75.4186895294987
