"","Nest_ID","Visit_date","Prev_date","interval","Fate_cat","Initiation_date","Stage"
"1","EMFWOR_NCAMC1-01A_2015","2015-06-22","2015-06-18",1,"success","2015-06-06","I"
"2","EMFWOR_NCAMC1-01A_2015","2015-06-23","2015-06-22",2,"success","2015-06-06","N"
"3","EMFWOR_NCAMC1-01A_2015","2015-07-01","2015-06-23",3,"success","2015-06-06","N"
"4","EMFWOR_NCAMC1-01A_2015","2015-07-13","2015-07-01",4,"success","2015-06-06","N"
"5","EMFWOR_NCAMC1-01A_2015","2015-07-22","2015-07-13",5,"success","2015-06-06","F"
"6","EMFWOR_NCAMC1-01A_2017","2017-06-27","2017-06-24",1,"success","2017-05-23","N"
"7","EMFWOR_NCAMC1-01A_2017","2017-06-29","2017-06-27",2,"success","2017-05-23","N"
"8","EMFWOR_NCAMC1-01A_2017","2017-07-07","2017-06-29",3,"success","2017-05-23","F"
"9","EMFWOR_NCAMC1-02A_2018","2018-07-02","2018-06-28",1,"success","2018-05-28","N"
"10","EMFWOR_NCAMC1-02A_2018","2018-07-05","2018-07-02",2,"success","2018-05-28","N"
"11","EMFWOR_NCAMC1-02A_2018","2018-07-09","2018-07-05",3,"success","2018-05-28","N"
"12","EMFWOR_NCAMC1-02A_2018","2018-07-10","2018-07-09",4,"success","2018-05-28","N"
"13","EMFWOR_NCAMC1-02A_2018","2018-07-11","2018-07-10",5,"success","2018-05-28","F"
"14","EMFWOR_NCAMC1-02A_2019","2019-06-17","2019-06-13",1,"failure","2019-06-12","L"
"15","EMFWOR_NCAMC1-02A_2019","2019-06-20","2019-06-17",2,"failure","2019-06-12","I"
"16","EMFWOR_NCAMC1-02A_2019","2019-06-24","2019-06-20",3,"failure","2019-06-12","I"
"17","EMFWOR_NCAMC1-02A_2019","2019-06-27","2019-06-24",4,"failure","2019-06-12","N"
"18","EMFWOR_NCAMC1-02A_2019","2019-07-01","2019-06-27",5,"failure","2019-06-12","N"
"19","EMFWOR_NCAMC1-09A_2015","2015-07-01","2015-06-25",1,"success","2015-06-06","N"
"20","EMFWOR_NCAMC1-09A_2015","2015-07-08","2015-07-01",2,"success","2015-06-06","N"
"21","EMFWOR_NCAMC1-09A_2015","2015-07-09","2015-07-08",3,"success","2015-06-06","N"
"22","EMFWOR_NCAMC1-09A_2015","2015-07-14","2015-07-09",4,"success","2015-06-06","N"
"23","EMFWOR_NCAMC1-09A_2015","2015-07-22","2015-07-14",5,"success","2015-06-06","F"
"24","EMFWOR_NCAMC1-09A_2018","2018-06-07","2018-06-05",1,"success","2018-05-17","N"
"25","EMFWOR_NCAMC1-09A_2018","2018-06-11","2018-06-07",2,"success","2018-05-17","N"
"26","EMFWOR_NCAMC1-09A_2018","2018-06-18","2018-06-11",3,"success","2018-05-17","N"
"27","EMFWOR_NCAMC1-09A_2018","2018-06-25","2018-06-18",4,"success","2018-05-17","N"
"28","EMFWOR_NCAMC1-09A_2018","2018-07-02","2018-06-25",5,"success","2018-05-17","F"
"29","EMFWOR_NCAMC1-10A_2017","2017-06-13","2017-06-08",1,"success","2017-05-14","N"
"30","EMFWOR_NCAMC1-10A_2017","2017-06-24","2017-06-13",2,"success","2017-05-14","N"
"31","EMFWOR_NCAMC1-10A_2017","2017-06-27","2017-06-24",3,"success","2017-05-14","F"
"32","EMFWOR_NCAMC1-10A_2020","2020-07-08","2020-07-06",1,"success","2020-06-23","I"
"33","EMFWOR_NCAMC1-10A_2020","2020-07-13","2020-07-08",2,"success","2020-06-23","N"
"34","EMFWOR_NCAMC1-10A_2020","2020-07-15","2020-07-13",3,"success","2020-06-23","N"
"35","EMFWOR_NCAMC1-10A_2020","2020-07-21","2020-07-15",4,"success","2020-06-23","N"
"36","EMFWOR_NCAMC1-10A_2020","2020-07-24","2020-07-21",5,"success","2020-06-23","N"
"37","EMFWOR_NCAMC1-10A_2020","2020-07-28","2020-07-24",6,"success","2020-06-23","N"
"38","EMFWOR_NCAMC1-10A_2020","2020-07-30","2020-07-28",7,"success","2020-06-23","N"
"39","EMFWOR_NCAMC1-10A_2020","2020-08-03","2020-07-30",8,"success","2020-06-23","N"
"40","EMFWOR_NCAMC1-10A_2020","2020-08-06","2020-08-03",9,"success","2020-06-23","F"
"41","EMFWOR_NCAMC2-10A_2018","2018-06-07","2018-06-05",1,"success","2018-05-23","I"
"42","EMFWOR_NCAMC2-10A_2018","2018-06-11","2018-06-07",2,"success","2018-05-23","N"
"43","EMFWOR_NCAMC2-10A_2018","2018-06-18","2018-06-11",3,"success","2018-05-23","N"
"44","EMFWOR_NCAMC2-10A_2018","2018-06-25","2018-06-18",4,"success","2018-05-23","N"
"45","EMFWOR_NCAMC2-10A_2018","2018-07-02","2018-06-25",5,"success","2018-05-23","N"
"46","EMFWOR_NCAMC2-10A_2018","2018-07-05","2018-07-02",6,"success","2018-05-23","F"
"47","EMFWOR_NCAMC2-10A_2019","2019-06-13","2019-06-10",1,"failure","2019-06-03","I"
"48","EMFWOR_NCAMC2-10A_2019","2019-06-17","2019-06-13",2,"failure","2019-06-03","I"
"49","EMFWOR_NCAMC2-10A_2019","2019-06-20","2019-06-17",3,"failure","2019-06-03","N"
"50","EMFWOR_NCAMC2-10A_2019","2019-06-24","2019-06-20",4,"failure","2019-06-03","N"
"51","EMFWOR_NCAMC2-10A_2019","2019-06-27","2019-06-24",5,"failure","2019-06-03","N"
"52","EMFWOR_NCAMC2-10A_2019","2019-07-01","2019-06-27",6,"failure","2019-06-03","N"
"53","EMFWOR_NCAMC2-10A_2019","2019-07-05","2019-07-01",7,"failure","2019-06-03","N"
"54","EMFWOR_NCAMC3-08A_2018","2018-06-04","2018-05-31",1,"success","2018-05-20","I"
"55","EMFWOR_NCAMC3-08A_2018","2018-06-07","2018-06-04",2,"success","2018-05-20","N"
"56","EMFWOR_NCAMC3-08A_2018","2018-06-11","2018-06-07",3,"success","2018-05-20","N"
"57","EMFWOR_NCAMC3-08A_2018","2018-06-18","2018-06-11",4,"success","2018-05-20","N"
"58","EMFWOR_NCAMC3-08A_2018","2018-06-25","2018-06-18",5,"success","2018-05-20","N"
"59","EMFWOR_NCAMC3-08A_2018","2018-07-02","2018-06-25",6,"success","2018-05-20","N"
"60","EMFWOR_NCAMC3-08A_2018","2018-07-05","2018-07-02",7,"success","2018-05-20","F"
"61","EMFWOR_NCAMC3-08A_2020","2020-06-05","2020-06-01",1,"success","2020-05-25","I"
"62","EMFWOR_NCAMC3-08A_2020","2020-06-10","2020-06-05",2,"success","2020-05-25","I"
"63","EMFWOR_NCAMC3-08A_2020","2020-06-18","2020-06-10",3,"success","2020-05-25","N"
"64","EMFWOR_NCAMC3-08A_2020","2020-06-23","2020-06-18",4,"success","2020-05-25","N"
"65","EMFWOR_NCAMC3-08A_2020","2020-06-29","2020-06-23",5,"success","2020-05-25","N"
"66","EMFWOR_NCAMC3-08A_2020","2020-07-01","2020-06-29",6,"success","2020-05-25","N"
"67","EMFWOR_NCAMC3-08A_2020","2020-07-07","2020-07-01",7,"success","2020-05-25","N"
"68","EMFWOR_NCAMC3-08A_2020","2020-07-09","2020-07-07",8,"success","2020-05-25","N"
"69","EMFWOR_NCAMC3-08A_2020","2020-07-13","2020-07-09",9,"success","2020-05-25","F"
"70","EMFWOR_NCAMC4-01A_2018","2018-07-02","2018-06-28",1,"success","2018-06-03","N"
"71","EMFWOR_NCAMC4-01A_2018","2018-07-05","2018-07-02",2,"success","2018-06-03","N"
"72","EMFWOR_NCAMC4-01A_2018","2018-07-09","2018-07-05",3,"success","2018-06-03","N"
"73","EMFWOR_NCAMC4-01A_2018","2018-07-12","2018-07-09",4,"success","2018-06-03","N"
"74","EMFWOR_NCAMC4-01A_2018","2018-07-16","2018-07-12",5,"success","2018-06-03","F"
"75","EMFWOR_NCAMC4-01A_2020","2020-06-16","2020-06-10",1,"failure","2020-99-99","I"
"76","EMFWOR_NCAMC4-01A_2020","2020-06-22","2020-06-16",2,"failure","2020-99-99","I"
"77","EMFWOR_NCAMC4-07A_2016","2016-07-07","2016-07-05",1,"success","2016-05-29","N"
"78","EMFWOR_NCAMC4-07A_2016","2016-07-08","2016-07-07",2,"success","2016-05-29","N"
